date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:15:43	236/236	---MCZ	200	added ('OK')	text/plain	date:Thu,%2014%20Nov%202024%2008:15:43%20GMT	https://pawderosaranch.com/robots.txt		(from )
19:15:44	143720/143720	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2008:15:44%20GMT	https://pawderosaranch.com/hulk-giant-pit-bull/	C:/Users/User/Desktop/Website/hulk/pawderosaranch.com/hulk-giant-pit-bull/index.html	(from )
19:15:45	51679/51679	---MCZ	200	added ('OK')	text/css	etag:W/%2266155a9c-c9df%22	https://pawderosaranch.com/wp-content/plugins/formidable/css/formidableforms.css?ver=491511	C:/Users/User/Desktop/Website/hulk/pawderosaranch.com/wp-content/plugins/formidable/css/formidableforms0a80.css	(from https://pawderosaranch.com/hulk-giant-pit-bull/)
19:15:45	800/800	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22c111d1b8909a9bd05bff5f7976cb1517-gzip%22	https://pawderosaranch.com/hulk-giant-pit-bull/feed/	C:/Users/User/Desktop/Website/hulk/pawderosaranch.com/hulk-giant-pit-bull/feed/index.html	(from https://pawderosaranch.com/hulk-giant-pit-bull/)
19:15:45	47664/47664	---MCZ	200	added ('OK')	text/css	etag:W/%226602e8c3-ba30%22	https://pawderosaranch.com/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.2.10	C:/Users/User/Desktop/Website/hulk/pawderosaranch.com/wp-content/plugins/instagram-feed/css/sbi-styles.minb038.css	(from https://pawderosaranch.com/hulk-giant-pit-bull/)
19:15:45	112419/112419	---MCZ	200	added ('OK')	text/css	etag:W/%22669948b9-1b723%22	https://pawderosaranch.com/wp-includes/css/dist/block-library/style.min.css?ver=6.6.1	C:/Users/User/Desktop/Website/hulk/pawderosaranch.com/wp-includes/css/dist/block-library/style.minb6a4.css	(from https://pawderosaranch.com/hulk-giant-pit-bull/)
19:15:46	2137/2137	---MCZ	200	added ('OK')	text/css	etag:W/%2260776b73-859%22	https://pawderosaranch.com/wp-content/plugins/sharify/icon/css/sharify.css	C:/Users/User/Desktop/Website/hulk/pawderosaranch.com/wp-content/plugins/sharify/icon/css/sharify.css	(from https://pawderosaranch.com/hulk-giant-pit-bull/)
19:15:46	470/470	---MCZ	200	added ('OK')	text/css	etag:W/%22658f06fb-1d6%22	https://pawderosaranch.com/wp-content/plugins/simple-banner/simple-banner.css?ver=2.17.0	C:/Users/User/Desktop/Website/hulk/pawderosaranch.com/wp-content/plugins/simple-banner/simple-banner0392.css	(from https://pawderosaranch.com/hulk-giant-pit-bull/)
19:15:46	829/829	---MCZ	200	added ('OK')	text/css	etag:W/%2261563e93-33d%22	https://pawderosaranch.com/wp-content/themes/jupiter/style.css?ver=6.6.1	C:/Users/User/Desktop/Website/hulk/pawderosaranch.com/wp-content/themes/jupiter/styleb6a4.css	(from https://pawderosaranch.com/hulk-giant-pit-bull/)
19:15:46	259/259	---MCZ	200	added ('OK')	text/css	etag:W/%22607750dc-103%22	https://pawderosaranch.com/wp-content/themes/pawderosa-ranch/style.css?ver=6.6.1	C:/Users/User/Desktop/Website/hulk/pawderosaranch.com/wp-content/themes/pawderosa-ranch/styleb6a4.css	(from https://pawderosaranch.com/hulk-giant-pit-bull/)
